id,name,IDENT,Total Passengers (Millions),Total Cargo Weight (Millions of lbs),Average # Miles Flown per Passenger,% of Flights Delayed,% of Flights Cancelled
15,Salt Lake City,ZLC,10.63,30.99,908,13.85,0.68
12,Seattle,ZSE,20.19,146.13,1495,17.08,0.69
9,Phoenix,ZAB,22.02,67.01,1068,18.45,0.69
1,Atlanta,ZTL,49.35,254.42,971,15.98,0.89
6,Houston,ZHU,26.58,245.16,1273,20.04,1.16
20,Minneapolis,ZMP,17.63,60.55,1022,17.3,1.24
19,Jacksonville,ZJX,2.72,3.91,579,15.22,1.4
4,Los Angeles,ZLA,36.46,696.96,2319,17.12,1.45
17,Kansas City,ZKC,5.14,10.26,750,16.32,1.51
7,Denver,ZDV,26.28,54.99,988,29.44,1.6
11,Miami,ZMA,21.04,335.41,1684,23,1.99
14,Detroit,ZOB,16.26,77.63,1095,19.3,2.12
5,Dallas-Fort Worth,ZFW,31.6,171.89,1183,23.18,2.12
8,San Francisco,ZOA,24.23,299.74,2208,19.53,2.28
16,Nashville,ZME,5.71,8.45,680,17.41,2.32
10,Washington,ZDC,21.64,159.44,1426,17.95,3.93
2,Chicago,ZAU,47.19,421.36,1245,29.23,4.48
13,Boston,ZBW,16.35,98.08,1389,17.59,7.33
3,New York,ZNY,42.28,622,2098,22.23,7.48
18,Indianapolis,ZID,3.89,9.24,724,17.16,13.26
